Politician,Information,Link,Picture
Bill Hagerty,"William Francis Hagerty IV ( HAG-ər-tee; born August 14, 1959) is an American politician, businessman, and diplomat serving as the junior United States senator from Tennessee since 2021. A member of the Republican Party, he served as the 30th United States ambassador to Japan from 2017 to 2019 under President Donald Trump.
Hagerty worked as an economic advisor and White House fellow under President George H. W. Bush. He then began a career in private equity. Hagerty is the co-founder of Hagerty Peterson & Company, a private equity investment firm; he is a former managing director of the firm. From 2011 to 2014, Hagerty served as commissioner of the Tennessee Department of Economic and Community Development. He led a successful effort to bring a Major League Soccer franchise to Nashville. President Trump nominated Hagerty to serve as U.S. ambassador to Japan on March 27, 2017; the U.S. Senate confirmed him on July 13 in an 86–12 vote. Hagerty was sworn in as the 30th United States ambassador to Japan on July 27, 2017. He resigned in July 2019 to run for the U.S. Senate.
Hagerty ran in the 2020 election for the U.S. Senate seat being vacated by Lamar Alexander. He won the Republican primary and defeated Democratic nominee Marquita Bradshaw in the general election.",https://en.wikipedia.org/wiki/Bill_Hagerty,https://upload.wikimedia.org/wikipedia/commons/b/b3/2020_United_States_Senate_election_in_Tennessee_results_map_by_county.svg
"Thomas H. Kean, Jr.","Thomas Howard Kean Jr. ( KAYN; born September 5, 1968) is an American politician serving as the U.S. representative from New Jersey's 7th congressional district since 2023. He represented New Jersey's 21st legislative district in the New Jersey Senate from 2003 to 2022, serving as minority leader from 2008 to 2022.
From 2001 to 2003, Kean was a member of the New Jersey General Assembly. In 2003, he was elected a New Jersey state senator representing the same district, and in January 2008 he became minority leader of the New Jersey Senate, serving in the position until his term ended in January 2022. After Governor Chris Christie was reelected in 2013, Christie tried and failed to remove him as minority leader. He was frequently mentioned as a potential Republican candidate for governor in the 2017 New Jersey gubernatorial election, but did not seek the nomination.
Kean was the Republican nominee for New Jersey's 7th congressional district in 2020, narrowly losing the general election to incumbent Democrat Tom Malinowski. He defeated Malinowski in a 2022 rematch. Kean was re-elected in 2024, defeating former New Jersey Working Families Party director Sue Altman.",https://en.wikipedia.org/wiki/Thomas_Kean_Jr.,https://upload.wikimedia.org/wikipedia/commons/e/ed/Decrease2.svg
Jerry Moran,"Gerald Wesley Moran ( murr-AN; born May 29, 1954) is an American lawyer and politician who is the senior United States senator from Kansas, a seat he has held since 2011. A member of the Republican Party, he was chair of the National Republican Senatorial Committee for the 113th U.S. Congress, during which he led successful Republican efforts in the 2014 election, producing the first Republican Senate majority since 2006. Previously, he was a member of the United States House of Representatives, representing Kansas's 1st congressional district.
Raised in Plainville, Kansas, Moran graduated from the University of Kansas and the University of Kansas School of Law. He worked in private law and was the state special assistant attorney general (1982–1985) and deputy attorney of Rooks County (1987–1995). He served in the Kansas Senate from 1989 to 1997 and was majority leader for his last two years. He was elected to the House of Representatives in 1996 and spent seven terms there with little electoral opposition. He was elected to the U.S. Senate in 2010 after defeating fellow U.S. representative Todd Tiahrt in a contentious primary. He was reelected to the Senate in 2016 and 2022.
Moran became the senior senator and dean of the Kansas congressional delegation in 2021 when Pat Roberts retired from the Senate.

",https://en.wikipedia.org/wiki/Jerry_Moran,https://upload.wikimedia.org/wikipedia/commons/d/d6/Amy_Coney_Barrett_and_Jerry_Moran.jpg
Nancy Pelosi,"Nancy Patricia Pelosi ( pə-LOH-see; née D'Alesandro; born March 26, 1940) is an American politician who was the 52nd speaker of the United States House of Representatives, serving from 2007 to 2011 and again from 2019 to 2023. A member of the Democratic Party, she was the first woman elected as U.S. House Speaker and the first woman to lead a major political party in either chamber of Congress, leading the House Democrats from 2003 to 2023. A member of the House since 1987, Pelosi currently represents California's 11th congressional district, which includes most of San Francisco. She is the dean of California's congressional delegation.
Pelosi was born and raised in Baltimore, and is the daughter of mayor and congressman Thomas D'Alesandro Jr. She graduated from Trinity College, Washington, in 1962 and married businessman Paul Pelosi the next year; the two had met while both were students. They moved to New York City before settling down in San Francisco with their children. Focused on raising her family, Pelosi stepped into politics as a volunteer for the Democratic Party in the 1960s. After years of party work, rising to chair the state party, she was first elected to Congress in a 1987 special election and is now in her 20th term. Pelosi steadily rose through the ranks of the House Democratic Caucus to be elected House minority whip in 2001 and elevated to House minority leader a year later, becoming the first woman to hold each of those positions in either chamber of Congress.
In the 2006 midterm elections, Pelosi led the Democrats to a majority in the House for the first time in 12 years and was subsequently elected Speaker, becoming the first woman to hold the office. Until Kamala Harris became vice president in 2021, Pelosi was the highest-ranking woman in the presidential line of succession in U.S. history, as the speaker of the House is second in the line of succession. During her first speakership, Pelosi was a major opponent of the Iraq War as well as the Bush administration's attempts to partially privatize Social Security. She participated in the passage of the Obama administration's landmark bills, including the Affordable Care Act, the Dodd–Frank Wall Street Reform and Consumer Protection Act, the Don't Ask, Don't Tell Repeal Act, the American Recovery and Reinvestment Act of 2009, and the 2010 Tax Relief Act. Pelosi lost the speakership after the Republican Party retook the majority in the 2010 midterm elections, but she retained her role as leader of the House Democrats and became House minority leader for a second time.
In the 2018 midterm elections, Democrats regained majority control of the House, and Pelosi was again elected Speaker, becoming the first former speaker to reclaim the gavel since Sam Rayburn in 1955. During her second speakership, the House twice impeached President Donald Trump, first in December 2019 and again in January 2021; the Senate acquitted Trump both times. She participated in the passage of the Biden administration's landmark bills, including the American Rescue Plan Act of 2021, the Infrastructure Investment and Jobs Act, the CHIPS and Science Act, the Inflation Reduction Act of 2022, and the Respect for Marriage Act. In the 2022 midterm elections, Republicans narrowly regained control of the House for the new Congress, ending her tenure as speaker. She subsequently retired as House Democratic leader. On November 29, 2022, the Steering and Policy Committee of the House Democratic Caucus named Pelosi ""Speaker Emerita"".",https://en.wikipedia.org/wiki/Nancy_Pelosi,https://upload.wikimedia.org/wikipedia/commons/3/33/5D4A2409_%2848996340263%29.jpg
Kevin Hern,"Kevin Ray Hern (born December 4, 1961) is an American businessman and politician from Oklahoma. A Republican, he is a member of the United States House of Representatives for Oklahoma's 1st congressional district. Born in Missouri and raised in Pope County, Arkansas, Hern graduated from Arkansas Tech University in 1986 and briefly attended the Georgia Institute of Technology before returning to Arkansas to work for McDonald's the following year. In 1997 he bought his first McDonald's franchise and in 1999 he earned his MBA degree from the University of Arkansas, Little Rock. After moving to Oklahoma in 1999, Hern expanded his McDonald's franchises, eventually owning 18 franchises in the Tulsa metropolitan area. In 2018, he ran his first campaign for office and was elected to the United States House of Representatives.
Hern was a leading figure in attempts to overturn the results of the 2020 United States presidential election. In December 2020, Hern signed an amicus brief in support of Texas v. Pennsylvania, a lawsuit filed at the United States Supreme Court contesting the results of the 2020 presidential election. The Supreme Court declined to hear the case on the basis that Texas lacked standing under Article III of the Constitution.
Hern became the chair of the Republican Study Committee, a group of conservative Republicans in the House, in 2023. In the January 2023 Speaker of the United States House of Representatives election, Hern was nominated for Speaker of the House as a protest candidate against Kevin McCarthy. During the October 2023 Speaker of the United States House of Representatives election Hern initially announced he would seek the nomination, before withdrawing from the race against Steve Scalise and Jim Jordan. On October 20, 2023, he again announced his candidacy for Speaker of the House after the withdrawal of Scalise and Jordan.",https://en.wikipedia.org/wiki/Kevin_Hern,https://upload.wikimedia.org/wikipedia/commons/2/2e/Rep._Kevin_Hern_official_photo%2C_116th_congress.jpg
Greg Landsman,"Gregory John Landsman (born December 4, 1976) is an American politician who has been the U.S. representative from Ohio's 1st congressional district since 2023. The district is based in Cincinnati, and includes most of its inner suburbs.
A member of the Democratic Party, Landsman served on the Cincinnati City Council from 2018 to 2022. He was elected to the United States House of Representatives in the 2022 election, defeating 13-term incumbent Steve Chabot.",https://en.wikipedia.org/wiki/Greg_Landsman,https://upload.wikimedia.org/wikipedia/commons/9/98/Emilia_Sykes_swearing_in_2023.jpg
Rick Larsen,"Richard Ray Larsen (born June 15, 1965) is an American politician serving as the United States representative for Washington's 2nd congressional district since 2001. A member of the Democratic Party, Larsen is the ranking member of the House Transportation and Infrastructure Committee.",https://en.wikipedia.org/wiki/Rick_Larsen,https://upload.wikimedia.org/wikipedia/commons/f/fa/RickLarsen.jpg
Josh Gottheimer,"Joshua S. Gottheimer ( GOT-hy-mər; born March 8, 1975) is an American politician, attorney, writer, and public policy adviser who has served as the U.S. representative for New Jersey's 5th congressional district since 2017. The district stretches along the northern border of the state from New York City's densely populated metropolitan suburbs in Bergen County northwest through exurban and rural territory in northern Passaic and Sussex Counties.
A member of the Democratic Party, Gottheimer was a speechwriter for Bill Clinton and served as an adviser to the presidential campaigns of Wesley Clark, John Kerry, and Hillary Clinton. He has also worked for Burson Cohn & Wolfe, the Federal Communications Commission, Ford Motor Company, and Microsoft.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://upload.wikimedia.org/wikipedia/commons/6/6f/GottheimerColumbia.png
John Boozman,"John Nichols Boozman ( BOHZ-mən; born December 10, 1950) is an American politician and former optometrist serving as the senior United States senator from Arkansas, a seat he has held since 2011. A member of the Republican Party, he was the U.S. representative for Arkansas's 3rd congressional district from 2001 to 2011. He is the dean of Arkansas's congressional delegation.
Boozman was born in Shreveport, Louisiana, where his father was stationed with the U.S. Air Force, but the family eventually returned to Fort Smith, Arkansas, where he was raised. He is the brother of the late state senator Fay Boozman. He attended the University of Arkansas, where he played football for the Arkansas Razorbacks, and later graduated from the Southern College of Optometry. He co-founded a private optometry clinic in 1977 and worked as a volunteer optometrist for low-income families. He won a special election in 2001 to the U.S. House of Representatives, where he served as assistant majority whip and sat on the Republican Policy Committee. He was an advocate for drug policy issues and chaired the Veterans' Affairs Economic Opportunity Subcommittee, where he led the passage of bills expanding services for unemployed veterans.
Boozman was elected to the United States Senate in 2010, defeating Democratic incumbent Blanche Lincoln by a 21-point margin and becoming only the second Republican to be elected to the U.S. Senate from Arkansas since Reconstruction. He took office in January 2011 and is the ranking Republican on the Senate Agriculture, Nutrition, and Forestry Subcommittee on Commodities, Risk Management, and Trade and the Senate Appropriations Committee Subcommittee on Military Construction and Veterans Affairs and Related Agencies. He is also a senior member of the United States Senate Committee on Veterans' Affairs. Boozman became the senior senator from Arkansas in 2015 when Democratic incumbent Mark Pryor left the Senate after his defeat by Tom Cotton. Boozman was reelected in 2016 and 2022.",https://en.wikipedia.org/wiki/John_Boozman,https://upload.wikimedia.org/wikipedia/commons/b/b6/20170507-OSEC-MMR-ARKANSAS-0319_%2833692038684%29.jpg
James Comer,"James Richardson Comer Jr. ( KOH-mər; born August 19, 1972) is an American politician from Kentucky who represents the state's 1st congressional district in the United States House of Representatives. A member of the Republican Party, he has served in Congress since 2016, during the 114th United States Congress. He previously served in the Kentucky House of Representatives and also served as the Agriculture Commissioner of Kentucky.
As the chair of the Oversight Committee from 2023, Comer has declined or stopped investigations into former President Donald Trump, while starting an investigation on President Joe Biden and his family. As of August 2024, Comer's investigation has yet to unearth evidence that Joe Biden was directly involved or profited from his family's business activities. After Joe Biden ended his 2024 presidential re-election campaign, Comer began an investigation into the new Democratic presidential nominee, Vice President Kamala Harris, and also began an investigation into the new Democratic vice-presidential nominee, Governor Tim Walz.
Comer served as Kentucky's agriculture commissioner from 2012 to 2016 and in the Kentucky House of Representatives from 2000 to 2012. He unsuccessfully sought the Republican nomination for governor of Kentucky in the 2015 election. A year later, he won the Republican nomination for Kentucky's 1st congressional district to succeed Ed Whitfield. On November 8, 2016, Comer won both a full term to the seat for the next Congress and a special election that allowed him to serve the remainder of Whitfield's term.",https://en.wikipedia.org/wiki/James_Comer_(politician),https://upload.wikimedia.org/wikipedia/commons/7/78/James_Comer_Kentucky_National_Guard.jpg
Sheldon Whitehouse,"Sheldon Whitehouse (born October 20, 1955) is an American lawyer and politician serving since 2007 as the junior United States senator from Rhode Island. A member of the Democratic Party, he served from 1993 to 1998 as the United States Attorney for the District of Rhode Island and from 1999 to 2003 as the 71st attorney general of Rhode Island. In 2006, he was elected to the Senate, defeating Republican incumbent Lincoln Chaffee. He was reelected in 2012, 2018, and 2024.
A political progressive and climate hawk, Whitehouse became chair of the United States Senate Committee on the Budget in 2023. He has given hundreds of Senate floor speeches about climate change and has made his assertion that politically conservative ""dark money"" groups are conducting a campaign to seize control of the American government, specifically the Supreme Court of the United States, a hallmark of his Senate tenure.",https://en.wikipedia.org/wiki/Sheldon_Whitehouse,https://upload.wikimedia.org/wikipedia/commons/a/a7/Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg
Lloyd Doggett,"Lloyd Alton Doggett II (born October 6, 1946) is an American lawyer and politician who is a U.S. representative from Texas. A Southern Democrat, he has represented a district based in Austin since 1995, currently numbered as Texas's 37th congressional district.
Doggett was previously a member of the Texas Senate and a justice of the Texas Supreme Court.
Doggett is the dean of Texas's congressional delegation; he previously shared the deanship with Sheila Jackson Lee until her death.
Doggett represents the same district President Lyndon B. Johnson once represented from 1937 until 1949.
Doggett was the first sitting Democratic congressperson to call on Joe Biden to drop out of the 2024 presidential race.

",https://en.wikipedia.org/wiki/Lloyd_Doggett,https://upload.wikimedia.org/wikipedia/commons/b/b3/Al_Gore%2C_Lloyd_Doggett_and_Nancy_Pelosi_at_Netroots_Nation_2008_%282728793940%29.jpg
Laurel M. Lee,"Laurel Frances Lee (née Moore; born March 26, 1974) is an American lawyer and politician serving as the U.S. representatives for Florida's 15th congressional district since 2023. A member of the Republican Party, she was a judge on Florida's Thirteenth Judicial Circuit from 2013 to 2019 and was the 30th Secretary of State of Florida from 2019 to 2022.",https://en.wikipedia.org/wiki/Laurel_Lee,https://upload.wikimedia.org/wikipedia/commons/2/20/Rick_Scott%2C_Ashley_Moody%2C_Chad_Chronister%2C_Jimmy_Patronis%2C_Anna_Paulina_Luna%2C_and_Laurel_Lee_during_Hurricane_Milton.jpg
Shelley Moore Capito,"Shelley Wellons Moore Capito ( KAP-ih-toh; born November 26, 1953) is an American politician and retired educator serving as the senior United States senator from West Virginia; she has served in the Senate since 2015. A member of the Republican Party, Capito served seven terms as the U.S. representative from West Virginia's 2nd congressional district from 2001 to 2015. The daughter of three-term West Virginia governor Arch Alfred Moore Jr, she is the dean of West Virginia's congressional delegation, having served in Congress since 2001.
Capito was the only Republican in West Virginia's congressional delegation until 2011, and the first Republican woman elected to Congress from West Virginia. She was the first woman elected to the U.S. Senate from West Virginia and the first Republican to win a full term in the Senate from West Virginia since 1942. She was reelected in 2020, defeating Democratic nominee Paula Jean Swearengin, and becoming the first West Virginia Republican reelected to the Senate since 1907.
Since 2021, Capito has served as the ranking member of the Senate Environment Committee. She became West Virginia's senior senator when Joe Manchin retired from the Senate on January 3, 2025.",https://en.wikipedia.org/wiki/Shelley_Moore_Capito,https://upload.wikimedia.org/wikipedia/commons/e/e7/2014_United_States_Senate_election_in_West_Virginia_results_map_by_county.svg
Virginia Foxx,"Virginia Ann Foxx (née Palmieri; born June 29, 1943) is an American educator, businesswoman, and politician serving as the U.S. representative from North Carolina's 5th congressional district since 2005. A member of the Republican Party, Foxx has served as chair of the House Rules Committee since 2025. She also served as Secretary of the House Republican Conference from 2013 to 2017. She was the ranking member of the House Committee on Education and Labor from 2019 to 2023 and served as the committee's chair from 2017 to 2019 and from 2023 to 2025. Foxx's district encompasses much of the northwestern portion of the state, including most of the city of Greensboro. Since January 2025, Foxx has been the dean of North Carolina's congressional delegation.",https://en.wikipedia.org/wiki/Virginia_Foxx,https://upload.wikimedia.org/wikipedia/commons/7/75/Virginia_Foxx.jpg
Mitch McConnell,"Addison Mitchell McConnell III (; born February 20, 1942) is an American politician and retired attorney serving as the senior United States senator from Kentucky, since 1985. McConnell is in his seventh Senate term and is longest-serving senator in Kentucky history. He served from 2007 to 2025 as the leader of the Senate Republican Conference, including two stints as minority leader (2007 to 2015 and 2021 to 2025), and was majority leader from 2015 to 2021, making him the longest-serving Senate party leader in U.S. history.
McConnell holds conservative political positions, although he was known as a pragmatist and a moderate Republican early in his political career. He led opposition to stricter campaign finance laws, culminating in the U.S. Supreme Court decision Citizens United v. FEC, which partially overturned the Bipartisan Campaign Reform Act (McCain-Feingold) in 2010. McConnell worked to withhold Republican support for major presidential initiatives during the Obama administration, making frequent use of the filibuster, and blocked many of President Obama's judicial nominees, including Supreme Court nominee Merrick Garland.
During the first Trump administration, the Senate Republican majority under McConnell's leadership passed the Tax Cuts and Jobs Act of 2017, the Economic Growth, Regulatory Relief and Consumer Protection Act in 2018, the First Step Act, and the Great American Outdoors Act, and confirmed a record number of federal appeals court judges during a president's first two years.  McConnell invoked the nuclear option to eliminate the 60-vote requirement to end a filibuster for Supreme Court nominations, after his predecessor Harry Reid had eliminated the filibuster for all other presidential nominations; Trump subsequently won Supreme Court confirmation battles over Neil Gorsuch, Brett Kavanaugh and Amy Coney Barrett. While supportive of most of Trump's domestic and foreign policies, McConnell criticized Trump's attempts to overturn the 2020 presidential election, and despite voting to acquit in Trump's second impeachment trial for reasons related to the constitutionality of impeaching a former president, deemed him ""practically and morally responsible"" for the January 6 United States Capitol attack.
In 2015, 2019 and 2023, Time listed McConnell as one of the 100 most influential people in the world. On February 28, 2024, McConnell announced that he would step down as the Senate Republican Conference Leader in January 2025, but would serve the remainder of his Senate term. An internal election to fill the post of Senate Republican Leader was held on November 13, in which South Dakota senator John Thune was selected.",https://en.wikipedia.org/wiki/Mitch_McConnell,https://upload.wikimedia.org/wikipedia/commons/f/fd/Bush_Contact_Sheet_P19344_%28cropped%29.jpg
Markwayne Mullin,"Markwayne Mullin (born July 26, 1977) is an American businessman and politician who has served as the junior United States senator from Oklahoma since 2023. A member of the Republican Party, he was elected in a special election in 2022 to serve the remainder of Jim Inhofe's term. Mullin is the first Native American U.S. senator since Ben Nighthorse Campbell retired in 2005. He is also the second Cherokee Nation citizen elected to the Senate; the first, Robert Latham Owen, retired in 1925. Before being elected to the Senate, Mullin served as the U.S. representative for Oklahoma's 2nd congressional district from 2013 to 2023.

",https://en.wikipedia.org/wiki/Markwayne_Mullin,https://upload.wikimedia.org/wikipedia/commons/f/f3/Deb_Haaland%2C_Sharice_Davids_and_Markwayne_Mullin_in_2020.png
