Ticker,Politician,Party,Chamber,Transaction,Traded,Filed,Invested
NVDA,Sheldon Whitehouse,D,Senate,Sale,2025-01-06,2025-01-08,-32500.5
AAPL,Sheldon Whitehouse,D,Senate,Sale,2024-12-19,2025-01-08,-32500.5
LRCX,Sheldon Whitehouse,D,Senate,Sale,2024-12-19,2025-01-08,-32500.5
KO,Lloyd Doggett,D,House,Purchase,2024-12-16,2025-01-08,8000.5
HD,Lloyd Doggett,D,House,Purchase,2024-12-12,2025-01-08,8000.5
PPG,Lloyd Doggett,D,House,Purchase,2024-12-12,2025-01-08,8000.5
IBM,Lloyd Doggett,D,House,Purchase,2024-12-10,2025-01-08,8000.5
JNJ,Lloyd Doggett,D,House,Purchase,2024-12-10,2025-01-08,8000.5
WBD,Laurel M. Lee,R,House,Sale,2024-11-29,2025-01-07,-8000.5
HURA,Laurel M. Lee,R,House,Purchase,2024-11-25,2025-01-07,8000.5
GE,Shelley Moore Capito,R,Senate,Purchase,2024-12-27,2025-01-06,8000.5
UNH,Shelley Moore Capito,R,Senate,Sale,2024-12-20,2025-01-06,-8000.5
MSFT,Shelley Moore Capito,R,Senate,Sale,2024-12-16,2025-01-06,-8000.5
LOW,Shelley Moore Capito,R,Senate,Sale,2024-12-13,2025-01-06,-8000.5
AVGO,Shelley Moore Capito,R,Senate,Purchase,2024-12-12,2025-01-06,8000.5
ARLP,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-32500.5
ABBV,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
BMY,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
DUK,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
PSA,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
AEP,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
PBA,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-75000.5
VIASP,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-75000.5
ASC,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-32500.5
ET,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-32500.5
FLNG,Virginia Foxx,R,House,Sale,2024-12-06,2025-01-06,-32500.5
JNJ,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
AMGN,Virginia Foxx,R,House,Purchase,2024-12-06,2025-01-06,8000.5
WFC,Mitch McConnell,R,Senate,Purchase,2024-12-02,2025-01-04,8000.5
GICIX,Markwayne Mullin,R,Senate,Purchase,2024-12-26,2025-01-03,75000.5
PCLPX,Markwayne Mullin,R,Senate,Purchase,2024-12-26,2025-01-03,375000.5
IEMG,Markwayne Mullin,R,Senate,Purchase,2024-12-26,2025-01-03,75000.5
PDBC,Markwayne Mullin,R,Senate,Sale,2024-12-26,2025-01-03,-375000.5
VNQ,Markwayne Mullin,R,Senate,Purchase,2024-12-26,2025-01-03,8000.5
CFSSX,Markwayne Mullin,R,Senate,Purchase,2024-12-26,2025-01-03,175000.5
AY,Thomas R. Carper,D,Senate,Sale,2024-12-13,2025-01-02,-8000.5
OLLI,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
GS,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
FRPT,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
LRN,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
LRN,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
FRPT,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
SFM,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
BMI,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
CYBR,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
CYBR,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
BMI,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
ETN,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
AXON,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
SFM,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
AXON,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
ELF,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
OLLI,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-32500.5
ELF,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
GS,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
ETN,Markwayne Mullin,R,Senate,Sale,2024-12-18,2024-12-31,-8000.5
PEP,Markwayne Mullin,R,Senate,Sale,2024-12-11,2024-12-31,-32500.5
AMAT,Markwayne Mullin,R,Senate,Purchase,2024-12-11,2024-12-31,32500.5
ABT,Markwayne Mullin,R,Senate,Sale,2024-12-11,2024-12-31,-32500.5
LRN,Markwayne Mullin,R,Senate,Purchase,2024-07-30,2024-12-31,8000.5
EQC,Bill Hagerty,R,Senate,Sale,2024-12-13,2024-12-30,-8000.5
NVDA,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
CAT,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
AMZN,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
DUK,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
NOW,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
META,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
ADBE,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
LLY,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
GILD,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
AMAT,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
NSC,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
MSFT,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
JNJ,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
HSY,Marjorie Taylor Greene,R,House,Purchase,2024-12-24,2024-12-27,8000.5
MNDY,Michael Guest,R,House,Purchase,2024-11-08,2024-12-20,8000.5
TSLA,Michael Guest,R,House,Purchase,2024-11-08,2024-12-20,8000.5
AMZN,Michael Guest,R,House,Purchase,2024-11-08,2024-12-20,8000.5
MSFT,Pete Sessions,R,House,Purchase,2024-12-18,2024-12-19,8000.5
IEMG,Markwayne Mullin,R,Senate,Purchase,2024-11-27,2024-12-19,8000.5
IEFA,Markwayne Mullin,R,Senate,Purchase,2024-11-27,2024-12-19,175000.5
EZU,Markwayne Mullin,R,Senate,Purchase,2024-11-27,2024-12-19,175000.5
NGL,Mark E. Green,R,House,Sale,2024-12-03,2024-12-17,-32500.5
SWKS,John Boozman,R,Senate,Sale,2024-11-20,2024-12-17,-8000.5
BBEU,John Boozman,R,Senate,Sale,2024-11-20,2024-12-17,-8000.5
AAXJ,John Boozman,R,Senate,Purchase,2024-11-20,2024-12-17,8000.5
VWO,John Boozman,R,Senate,Sale,2024-11-20,2024-12-17,-8000.5
SPY,John Boozman,R,Senate,Purchase,2024-11-13,2024-12-17,8000.5
LBTYK,"Thomas H. Kean, Jr.",R,House,Exchange,2024-11-13,2024-12-16,-32500.5
LBTYK,"Thomas H. Kean, Jr.",R,House,Exchange,2024-11-13,2024-12-16,-8000.5
SNRE,"Thomas H. Kean, Jr.",R,House,Exchange,2024-11-13,2024-12-16,-8000.5
PDRDF,"Thomas H. Kean, Jr.",R,House,Sale,2024-11-04,2024-12-16,-8000.5
FTV,"Thomas H. Kean, Jr.",R,House,Purchase,2024-11-04,2024-12-16,8000.5
AMAT,Jonathan L. Jackson,D,House,Sale,2024-11-27,2024-12-12,-32500.5
AMZN,Jonathan L. Jackson,D,House,Purchase,2024-11-27,2024-12-12,32500.5
WAL,Lance Gooden,R,House,Sale,2024-11-15,2024-12-12,-75000.5
CHD,Jonathan L. Jackson,D,House,Purchase,2024-11-13,2024-12-12,32500.5
REGN,Jonathan L. Jackson,D,House,Sale,2024-11-13,2024-12-12,-32500.5
URI,Greg Landsman,D,House,Purchase,2024-11-08,2024-12-12,8000.5
INTC,Mike Kelly,R,House,Sale,2024-11-08,2024-12-12,-8000.5
UNP,Mike Kelly,R,House,Sale,2024-11-08,2024-12-12,-32500.5
LLY,Greg Landsman,D,House,Sale,2024-11-08,2024-12-12,-32500.5
AMP,Greg Landsman,D,House,Purchase,2024-11-08,2024-12-12,8000.5
REGN,Jonathan L. Jackson,D,House,Sale,2024-11-01,2024-12-12,-8000.5
HTGC,Virginia Foxx,R,House,Purchase,2024-11-20,2024-12-11,8000.5
ET,Virginia Foxx,R,House,Purchase,2024-11-19,2024-12-11,8000.5
ARLP,Virginia Foxx,R,House,Purchase,2024-11-14,2024-12-11,8000.5
SCHW,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
SHEL,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
NVDA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-32500.5
NVDA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
NVDA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
NVDA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
MSFT,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
AMZN,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
IBKR,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
NVDA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
TSLA,Morgan McGarvey,D,House,Sale,2024-11-13,2024-12-10,-8000.5
DJT,Morgan McGarvey,D,House,Sale,2024-11-08,2024-12-10,-8000.5
DJT,Morgan McGarvey,D,House,Purchase,2024-11-06,2024-12-10,8000.5
JNJ,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
HD,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
LIN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
MCD,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
TSCO,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
GOOG,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
JPM,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
SHW,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
AVGO,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
CMI,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
META,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
ADI,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
SBCF,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-75000.5
PEP,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
LIN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
ACN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
LMT,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
XLE,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,32500.5
TMUS,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
CVX,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-8000.5
WST,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-8000.5
AVGO,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
XOM,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-8000.5
AOS,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-8000.5
AMZN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
AMZN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
ATO,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
TXN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
ORCL,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
CMI,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
NVDA,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
AMZN,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
PEP,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
MRK,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
SHW,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
QCOM,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
TSCO,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
SBCF,Jared Moskowitz,D,House,Sale,2024-11-08,2024-12-09,-32500.5
ELV,Jared Moskowitz,D,House,Purchase,2024-11-08,2024-12-09,8000.5
NWN,Earl Blumenauer,D,House,Purchase,2024-11-15,2024-12-07,8000.5
REGN,Josh Gottheimer,D,House,Sale,2024-11-29,2024-12-05,-8000.5
NFLX,Josh Gottheimer,D,House,Sale,2024-11-27,2024-12-05,-8000.5
TSLA,Josh Gottheimer,D,House,Purchase,2024-11-27,2024-12-05,8000.5
VRT,Josh Gottheimer,D,House,Sale,2024-11-27,2024-12-05,-8000.5
D,Josh Gottheimer,D,House,Purchase,2024-11-26,2024-12-05,8000.5
JNJ,Josh Gottheimer,D,House,Purchase,2024-11-26,2024-12-05,8000.5
TSLA,Josh Gottheimer,D,House,Purchase,2024-11-26,2024-12-05,8000.5
ETN,Josh Gottheimer,D,House,Sale,2024-11-25,2024-12-05,-8000.5
JNJ,Josh Gottheimer,D,House,Purchase,2024-11-22,2024-12-05,8000.5
COP,Josh Gottheimer,D,House,Sale,2024-11-22,2024-12-05,-8000.5
NTRA,Josh Gottheimer,D,House,Purchase,2024-11-20,2024-12-05,8000.5
TSLA,Josh Gottheimer,D,House,Purchase,2024-11-20,2024-12-05,8000.5
MSFT,Josh Gottheimer,D,House,Purchase,2024-11-19,2024-12-05,3000000.5
KKR,Josh Gottheimer,D,House,Purchase,2024-11-19,2024-12-05,8000.5
MSFT,Josh Gottheimer,D,House,Sale,2024-11-19,2024-12-05,-3000000.5
MSFT,Josh Gottheimer,D,House,Sale,2024-11-19,2024-12-05,-3000000.5
LLY,Josh Gottheimer,D,House,Sale,2024-11-19,2024-12-05,-8000.5
MSFT,Josh Gottheimer,D,House,Purchase,2024-11-19,2024-12-05,3000000.5
MSFT,Josh Gottheimer,D,House,Sale,2024-11-19,2024-12-05,-3000000.5
