,quoteType,symbol,category,currency,country,sector
0,ETF,IEMG,Diversified Emerging Mkts,USD,,
1,ETF,IEFA,Foreign Large Blend,USD,,
2,ETF,EZU,Europe Stock,USD,,
3,ETF,BBEU,Europe Stock,USD,,
4,ETF,VWO,Diversified Emerging Mkts,USD,,
5,ETF,AAXJ,Pacific/Asia ex-Japan Stk,USD,,
6,ETF,SPY,Large Blend,USD,,
7,ETF,IEMG,Diversified Emerging Mkts,USD,,
8,ETF,IEFA,Foreign Large Blend,USD,,
9,ETF,EZU,Europe Stock,USD,,
10,ETF,BBEU,Europe Stock,USD,,
11,ETF,VWO,Diversified Emerging Mkts,USD,,
12,ETF,AAXJ,Pacific/Asia ex-Japan Stk,USD,,
13,ETF,SPY,Large Blend,USD,,
14,ETF,XLE,Equity Energy,USD,,
15,ETF,HIYS,High Yield Bond,USD,,
16,ETF,IWM,Small Blend,USD,,
17,ETF,IVV,Large Blend,USD,,
18,ETF,VEA,Foreign Large Blend,USD,,
19,ETF,EFA,Foreign Large Blend,USD,,
20,ETF,MDY,Mid-Cap Blend,USD,,
21,ETF,TLH,Long Government,USD,,
22,ETF,VNQI,Global Real Estate,USD,,
23,ETF,SHY,Short Government,USD,,
24,ETF,MBB,Intermediate Government,USD,,
25,ETF,FTGC,Commodities Broad Basket,USD,,
26,ETF,SCHP,Inflation-Protected Bond,USD,,
27,ETF,IEF,Long Government,USD,,
28,ETF,TBLL,Ultrashort Bond,USD,,
29,ETF,CMBS,Intermediate Core Bond,USD,,
30,ETF,TPYP,Energy Limited Partnership,USD,,
31,ETF,JMBS,Intermediate Government,USD,,
32,ETF,PPLT,Commodities Focused,USD,,
33,ETF,EMLP,Energy Limited Partnership,USD,,
34,ETF,AGZ,Short Government,USD,,
35,ETF,IEI,Intermediate Government,USD,,
36,ETF,GIGB,Corporate Bond,USD,,
37,ETF,TLT,Long Government,USD,,
38,ETF,PALL,Commodities Focused,USD,,
39,ETF,QQQM,Large Growth,USD,,
40,ETF,IJR,Small Blend,USD,,
41,ETF,FQAL,Large Blend,USD,,
42,ETF,ONEQ,Large Growth,USD,,
43,ETF,XBI,Health,USD,,
44,ETF,IWF,Large Growth,USD,,
45,ETF,VCSH,Short-Term Bond,USD,,
46,ETF,IWB,Large Blend,USD,,
47,ETF,GEM,Diversified Emerging Mkts,USD,,
48,ETF,ARKK,Mid-Cap Growth,USD,,
49,ETF,IVW,Large Growth,USD,,
50,ETF,EFAD,Foreign Large Blend,USD,,
51,ETF,PRF,Large Value,USD,,
52,ETF,COWZ,Mid-Cap Value,USD,,
53,ETF,ICOW,Foreign Large Value,USD,,
54,ETF,VIG,Large Blend,USD,,
55,ETF,FDRR,Large Value,USD,,
56,ETF,CALF,Small Value,USD,,
57,ETF,SMDV,Small Value,USD,,
58,ETF,MOO,Natural Resources,USD,,
59,ETF,SRVR,Real Estate,USD,,
60,ETF,SCZ,Foreign Small/Mid Blend,USD,,
61,ETF,ITIP,,USD,,
62,ETF,GLD,Commodities Focused,USD,,
63,ETF,ICLN,Miscellaneous Sector,USD,,
64,ETF,SCHX,Large Blend,USD,,
65,ETF,GBIL,Ultrashort Bond,USD,,
66,ETF,USFR,Ultrashort Bond,USD,,
67,ETF,VUG,Large Growth,USD,,
68,ETF,XCEM,Diversified Emerging Mkts,USD,,
69,ETF,HDGE,Trading--Inverse Equity,USD,,
70,ETF,URA,Natural Resources,USD,,
71,ETF,IGSB,Short-Term Bond,USD,,
72,ETF,CORP,Corporate Bond,USD,,
73,ETF,EMXC,Diversified Emerging Mkts,USD,,
74,ETF,PSQ,Trading--Inverse Equity,USD,,
75,ETF,QQQ,Large Growth,USD,,
76,ETF,JEPI,Derivative Income,USD,,
77,ETF,VOO,Large Blend,USD,,
78,ETF,VO,Mid-Cap Blend,USD,,
79,ETF,AMLP,Energy Limited Partnership,USD,,
80,ETF,FEP,Europe Stock,USD,,
81,ETF,JHEM,Diversified Emerging Mkts,USD,,
82,ETF,SHV,Ultrashort Bond,USD,,
83,ETF,REIT,Real Estate,USD,,
84,ETF,IWD,Large Value,USD,,
85,ETF,RSP,Large Blend,USD,,
86,ETF,IYY,Large Blend,USD,,
87,ETF,FDN,Technology,USD,,
88,ETF,QQXT,Large Blend,USD,,
89,ETF,RTH,Consumer Cyclical,USD,,
90,ETF,JHMM,Mid-Cap Blend,USD,,
91,ETF,DGRS,Small Value,USD,,
92,ETF,SBIO,Health,USD,,
93,ETF,SCHD,Large Value,USD,,
94,ETF,PFF,Preferred Stock,USD,,
95,ETF,KBE,Financial,USD,,
96,ETF,VFH,Financial,USD,,
97,ETF,CDL,Large Value,USD,,
98,ETF,QTEC,Technology,USD,,
99,ETF,VHT,Health,USD,,
100,ETF,IGHG,Nontraditional Bond,USD,,
101,ETF,GNR,Natural Resources,USD,,
102,ETF,SPGP,Large Value,USD,,
103,ETF,NXTG,Technology,USD,,
104,ETF,MUNI,Muni National Interm,USD,,
105,ETF,TIP,Inflation-Protected Bond,USD,,
106,ETF,VYM,Large Value,USD,,
107,ETF,FDEV,Foreign Large Blend,USD,,
108,ETF,FHYS,High Yield Bond,USD,,
109,ETF,USO,Commodities Focused,USD,,
110,ETF,FAS,Trading--Leveraged Equity,USD,,
111,ETF,BTEC,Health,USD,,
112,ETF,QYLD,Derivative Income,USD,,
113,ETF,SH,Trading--Inverse Equity,USD,,
114,ETF,DGRO,Large Value,USD,,
115,ETF,XLY,Consumer Cyclical,USD,,
116,ETF,DHS,Large Value,USD,,
117,ETF,XLC,Communications,USD,,
118,ETF,MUB,Muni National Interm,USD,,
119,ETF,IDV,Foreign Large Value,USD,,
120,ETF,EFAV,Foreign Large Blend,USD,,
121,ETF,VRAI,Global Small/Mid Stock,USD,,
122,ETF,IJS,Small Value,USD,,
123,ETF,EELV,Diversified Emerging Mkts,USD,,
124,ETF,FINX,Technology,USD,,
125,ETF,CFA,Large Blend,USD,,
126,ETF,KRE,Financial,USD,,
127,ETF,GDXJ,Equity Precious Metals,USD,,
128,ETF,GSSC,Small Blend,USD,,
129,ETF,CIBR,Technology,USD,,
130,ETF,SCHF,Foreign Large Blend,USD,,
131,ETF,DURA,Large Value,USD,,
132,ETF,VTIP,Short-Term Inflation-Protected Bond,USD,,
133,ETF,IBDO,Target Maturity,USD,,
134,ETF,IBDQ,Target Maturity,USD,,
135,ETF,SHYG,High Yield Bond,USD,,
136,ETF,FIXD,Intermediate Core-Plus Bond,USD,,
137,ETF,IWN,Small Value,USD,,
138,ETF,PPA,Industrials,USD,,
139,ETF,PAVE,Infrastructure,USD,,
140,ETF,BBH,Health,USD,,
141,ETF,SCHH,Real Estate,USD,,
142,ETF,ARKG,Health,USD,,
143,ETF,KWEB,China Region,USD,,
144,ETF,FHLC,Health,USD,,
145,ETF,HCRB,Intermediate Core Bond,USD,,
146,ETF,SCHZ,Intermediate Core Bond,USD,,
